Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount($),Stage,Funding_Year,Year_of_existence,Actual_date,Year
Chai Waale,2018-01-01,Chennai,Consumer Goods,Tea Brand,Vidur Maheshwari,"Tharun Dhariwal, Sunil Kumar Singhvi, Arun Ostwal, Vishal Ostwal, Gunavanth Vaid, Bharat Kumar",232000.0,Seed,2020-01-01,730 days,2019-01-01,2019
NOTO,2017-01-01,Mumbai,Consumer Goods,A brand that makes healthy icecream,"Ashni Sheth, Varun Sheth",WEH Ventures,3000000.0,Pre_seed,2020-01-01,1095 days,2020-01-01,2020
Earth Energy EV,2017-01-01,Mumbai,Transportation & Logistics,Electric vehicles startup,Rushi Shenghani,LR Joshi,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Blue Sky Analytics,2018-01-01,Gurugram,IT & Technology,"It is building AI-powered infrastructure to analyse air quality, pollution etc","Abhilasha, Kshitij Purwar","Beenext, Rainmatter CApital Pvt Ltd, Stanford Angels & Entrepreneurs",1200000.0,Seed,2020-01-01,730 days,2019-01-01,2019
Edhusk,2017-01-01,Jaipur,Education,Provieds personalised learning to students by leveraging technology-driven models,"Anuj Bhuria, Himanshu Kumar, Himanshu Meena",Mumbai Angel Network,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Decentro,2020-01-01,Bengaluru,IT & Technology,Automated API-based platform that enables financial integrations.,Rohit Taneja,Y Combinator,15500000.0,Series_A,2020-01-01,0 days,2017-01-01,2017
Brainwired,2018-01-01,Kerala,Agriculture,India’s first livestock health monitoring company,"Sreeshankar S Nair, Romeo P Jerard","Kritik Abiram, Parthiv Rokadia, Gaurav Saraogi",3000000.0,Seed,2020-01-01,730 days,2019-01-01,2019
Ken42,2019-01-01,Bengaluru,Education,A platform that caters to evolving needs of institutions,Ganesh Raju,Turbostart,1470000.0,Seed,2020-01-01,365 days,2018-01-01,2018
Forbidden Foods,2017-01-01,Delhi,Consumer Goods,Packaged snacks company,Anuj Krishnan,"Globevestor, Secocha Ventures, First Cheque VC, Kashyap Deorah, Vijay Sivaram",1000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Gobbly,2017-01-01,Gurugram,Retail,A contactless retail store filled with fruits and veggies,Ooshma Garg,Sauce vc,500000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Aerostrovilos,2017-01-01,Chennai,Transportation & Logistics,Manufactures micro gas turbines for power-based application,"Rohit Grover, Pradeep Thangappan",Mumbai Angels Network,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Mitron,2017-01-01,Bengaluru,Others,Short Video and Social Platform,"Shivank Agarwal, Anish Khandelwal","3One4 Capital, LetsVenture",267000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Inspektlabs,2019-01-01,Delhi,IT & Technology,Focuses on building computer vision products for physical asset inspections,"Devesh Trivedi, Sanchit","Better Capital, Titan Capital",600000.0,Seed,2020-01-01,365 days,2018-01-01,2018
Big Bang Boom Solutions,2018-01-01,Chennai,IT & Technology,It developed integrated intellectual properties for defense,"Praveen Dwarkanath, Dr. Shivaraman Ramaswamy",Mumbai Angels Network,1000000.0,Series_A,2020-01-01,730 days,2019-01-01,2019
Zetwerk,2018-01-01,Bengaluru,Business Services,B2B marketplace that connects manufacturing companies for industrial equipements,"Amrit Acharya, Srinath Ramakkrushnan, Vishal Chaudhary",Greenoaks,21000000.0,Seed,2020-01-01,730 days,2019-01-01,2019
ChitMonks,2016-01-01,Hyderabad,IT & Technology,Offers enterprise private platform for chit fund firms,Pavan Adipuram,Unicorn India Ventures,650000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
Walrus,2019-01-01,Bengaluru,IT & Technology,It provides banking solutions for teens and young adults,"Bhagaban Behera, Sriharsha Shetty, Nakul Kelkar",Better Capital,3000000.0,Pre_seed,2020-01-01,365 days,2018-01-01,2018
Arth Designbuild,2017-01-01,Hyderabad,IT & Technology,Construction technology and solutions provider,Swapnil Sahu,"Startup-O, Eden Ventures",1100000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
goDutch,2017-01-01,Mumbai,IT & Technology,Group Payments platform,"Aniruddh Singh, Riyaz Khan, Sagar Sheth","Matrix India, Y Combinator, Global Founders Capital, Soma Capital, VentureSouq",1700000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Rusk Media,2019-01-01,Delhi,Others,It creates video content,Mayank Yadav,"InfoEdge Venture Fund, Sprout Venture Partners",3000000.0,Seed,2020-01-01,365 days,2018-01-01,2018
Bold Care,2019-01-01,Mumbai,Healthcare & Life sciences,Digital platform that offers sexologist consultations for  men,"Rajat Jadhav, Rahul Krishnan, Harsh Singh, Mohit Yadav","Rajesh Ranavat, Abhishek Shah, Sheetal Bahl, Manu Rikhye, Ashish Taneja, Kabir Kochhar, Mohit Satyanand",3000000.0,Pre_seed,2020-01-01,365 days,2018-01-01,2018
Samosa Party,2017-01-01,Bengaluru,Consumer Goods,Provides quality Indian Snacks,Amit Nanwani,Inflection Point Ventures,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Slice,2016-01-01,Bengaluru,IT & Technology,A financial platform for youngsters,Rajan Bajaj,Gunosy,6082000.0,Series_B,2020-01-01,1461 days,2021-01-01,2021
Bombay Play,2017-01-01,Bengaluru,Others,It designs and creates online multiplayer games,"Abhas Saroha, Oliver Jones","Leo capital, Ramakant Sharma",1500000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Aether Biomedical,2016-01-01,Delhi,Healthcare & Life sciences,"Medical robotics startup, focussed on developing rehabilitation devices","Dhruv Agrawal, Faith Jiwakhan",Chiratae Ventures,3000000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
MergerDomo,2018-01-01,Noida,Business Services,Global online corporate deal sourcing and consulting marketplace,"Hormazd Charna, Manoj Mishra","Nadir Godrej, Individual Investors",197000.0,Seed,2020-01-01,730 days,2019-01-01,2019
GoMechanic,2016-01-01,Delhi,Transportation & Logistics,Find automobile repair and maintenance service providers,"Amit Bhasin, Kushal Karwa, Nitin Rana, Rishabh Karwa",Pawan Munjal,3000000.0,Series_B,2020-01-01,1461 days,2021-01-01,2021
Drishti Technologies,2017-01-01,Bengaluru,IT & Technology,"AI-based video analytics, data, and insights bring benefits to manufacturers",Prasad Akella,Sozo Ventures,25000000.0,Series_B,2020-01-01,1095 days,2020-01-01,2020
Instasolv,2019-01-01,Noida,Education,It is a doubt-solving app for students from Class 6 to 12,"Aditya Singhal, Nishant Sinha, Bahul Arora",Undisclosed,2000000.0,Seed,2020-01-01,365 days,2018-01-01,2018
GoldenPi,2017-01-01,Bengaluru,IT & Technology,An online aggregator of bonds and debentures available in the secondary market,"Abhijit Roy, Samir Pratihar",Rainmatter Capital,459000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Sarva,2017-01-01,Mumbai,Healthcare & Life sciences,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,Sarvesh Shashi,Shikhar Dhawan,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Jai Kisan,2017-01-01,Mumbai,IT & Technology,A platform that caters the need of customers in rural areas,"Arjun Ahluwalia, Adriel Maniego","Arkam Ventures, Nabventures",3937000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Agro2o,2017-01-01,New Delhi,Agriculture,It develops products focused on making hydroponics-based farming,Yash Vyas,Mumbai Angels Network,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
GabbarDeals,2017-01-01,Pune,Retail,Online-to-Offline platforms for mobile phones & accessories,"Niraj Raka, Poonam Gugale, Piyush Raka",Venture Catalysts,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Biomoneta,2017-01-01,Bengaluru,Healthcare & Life sciences,It develops germicidal technologies,Dr Janani Venkatraman,"Beyond Next Ventures, ArthaVida Ventures, Dr Aniruddha Malpani",3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Edvizo,2017-01-01,Bengaluru,Education,"Online marketplace to search, compare and enrol in the best institutes for competitive exam preparation",Ravi Nishant,Inflection Point Ventures,150000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Servify,2017-01-01,Mumbai,IT & Technology,Operates device management and support platform,Sreevathsa Prabhakar,"Iron Pillar, Blume Ventures",11370000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Drum Food,2017-01-01,Mumbai,Consumer Goods,It runs yoghurt brand Epigamia,"Rohan Mirchandani, Ganesh Krishnamurthy, Rahul Jain,Uday Thakkar.","Danone Manifesto, Mousse Partners",5305000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Ameliorate Biotech,2017-01-01,Bengaluru,Healthcare & Life sciences,"Their products address the needs in Early Stage Diagnostics, Bio-Similars and Nutraceuticals.","Dr Binita Shrivastava Tunga, Dr Rashbehari Tunga","PadUp, Villgro USA, Vinners, LetsVenture, SINE IIT Bombay, DERBI",264000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Hapramp,2018-01-01,Gurugram,IT & Technology,Startup working on technologies like blockchain and social media,"Shubhendra Vikram, Ankit Kumar",Anand Mahindra,1000000.0,Seed,2020-01-01,730 days,2019-01-01,2019
MyKaam,2016-01-01,Bengaluru,Business Services,Online job searching and recruiting platform,Ashish Gupta,"Dr Apoorva Ranjan Sharma, Mrunal Jhaveri, Nirav Panchmatia, Vikas Kapoor, Karan Garg",3000000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
HealthPlix,2016-01-01,Bengaluru,Healthcare & Life sciences,It provides clinical software for doctors,"Raghuraj Sunder Raju, Prasad Basavaraj, Sandeep Gudibanda","JSW Ventures, Chiratae Ventures, Kalaari Capital",6000000.0,Series_B,2020-01-01,1461 days,2021-01-01,2021
YoloBus,2019-01-01,Gurugram,Transportation & Logistics,Intercity bus service startup,"Shailesh Gupta, Mukul Shah",Nexus Venture Partners,3300000.0,Series_A,2020-01-01,365 days,2018-01-01,2018
Pocket52,2017-01-01,Bengaluru,Others,An online poker playing platform,Nitesh Salvi,Gameskraft,1750000.0,Series_A,2020-01-01,1095 days,2020-01-01,2020
QuaQua,2016-01-01,Hyderabad,Travel & Tourism,Virtual travel guide platform,"Purav Shah, Sandesh Reddy",Anthill Ventures,1000000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
Crofarm,2016-01-01,Delhi,Agriculture,Supply chain that supports farmers and provides businesses with freshest produce,"Prashant Jain, Varun Khurana",Smile group,1000000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
Timios,2017-01-01,Bengaluru,Consumer Goods,Provides healthy snacks for kids,Aswani Chaitanya,Rangsons Technologies,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Knorish,2017-01-01,Delhi,IT & Technology,All-in-one knowledge commerce SaaS platform,"Kinner N Sacchdev, Rakhi Wadhwa",100x VC,323000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Cube Wealth,2018-01-01,Mumbai,IT & Technology,A digital wealth management services,"Satyen Kothari, Beenext, Asuka Holding","Beenext, Asuka Holding",500000.0,Series_C,2020-01-01,730 days,2019-01-01,2019
IVF Access,2019-01-01,Bengaluru,Healthcare & Life sciences,It provdes IVF treatments,"Naresh Rao, Nikhil Rajmohan, Harinath Chakravarthy, Pravin Sethuraman",Vertex Ventures SEA & India,5000000.0,Series_A,2020-01-01,365 days,2018-01-01,2018
Hoi Foods,2017-01-01,Delhi,Consumer Goods,Quality food solution,Indrajeet Roy,Crowd Fund,2000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Ola Financial Services,2017-01-01,Bengaluru,IT & Technology,It operates Ola Money,Bhavish Aggarwal,Matrix Partners,27000000.0,Series_A,2020-01-01,1095 days,2020-01-01,2020
Swiflearn,2019-01-01,Gurugram,Education,Learning platform for K-10 students looking for personalised learning,"Abhinav Agarwal, Anand Bakode","Stellaris Venture Partners, Venture Highway",3000000.0,Seed,2020-01-01,365 days,2018-01-01,2018
Remedo,2017-01-01,Delhi,Healthcare & Life sciences,The platform connects doctors with patients,"Dr Ruchir Mehra, Harsh Bansal, Richeek Arya",River Rock Ventures. Inflection Point Ventures,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Toch,2017-01-01,Mumbai,IT & Technology,"Helps online video creators, media companies, advertisers, and OTT platforms optimise their videos","Vinayak Srivastav, Saket Dandotia, Alok Patil","Chinaccelerator, 9 Unicorns Fund, Inflection Point Ventures",1000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Gram Cover,2017-01-01,Noida,IT & Technology,It provides insurance products in rural areas,Jatin Singh,"EMVC, Flourish, Omidyar Network India",3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Coin DCX,2018-01-01,Mumbai,IT & Technology,Hybrid crypto exchange platform,"Sumit Gupta, Neeraj Khandelwal",Polychain Capital,2500000.0,Seed,2020-01-01,730 days,2019-01-01,2019
HomeCapital,2017-01-01,Mumbai,IT & Technology,Home Down Payment Assistance Program,Lalit Menghani,Varanium NexGen Fund,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Euler Motors,2017-01-01,Delhi,Transportation & Logistics,Startup focusses on electric vehicles,Saurav Kumar,Inventus III India Fund,2530000.0,Series_A,2020-01-01,1095 days,2020-01-01,2020
Riskcovry,2018-01-01,Mumbai,IT & Technology,Offers various insurance products,"Suvendu Prusty, Sorabh Bhandari, Chiranth Patil.","Bharat Inclusion Seed Fund, Varanium Capital, and Better Capital",3000000.0,Seed,2020-01-01,730 days,2019-01-01,2019
NWNT (No Worry No Tension Healthcare),2017-01-01,Delhi,Healthcare & Life sciences,Mental healthtech startup,Sandeep Vohra,Amit Burman,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Voicezen,2017-01-01,Gurugram,IT & Technology,Conversational AI startup,Anurba Nath,Bharti Airtel,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Leap Club,2017-01-01,Gurugram,Business Services,Community led professional network for women,"Ragini Das, Anand Sinha","Whiteboard Capital, FirstCheque, Artha India Ventures, Sweta Rau, Deepak Abbot, Amrish Rau, Harpreet Singh Grover",340000.0,Pre_seed,2020-01-01,1095 days,2020-01-01,2020
Xtracap,2017-01-01,Gurugram,IT & Technology,"Offers online payment solution,schemes, order management, insurance etc.,",Mohammed Riaz,Angel Investors,1000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Tring,2019-01-01,Mumbai,Others,Celebrity engagement platform,"Akshay Saini, Rahul Saini, Pranav Chabhadia","Kalyan Krishnamurthy, Sujeet Kumar, Keshav Sanghi, Roman Saini, Sumit Jain, Hemesh Singh",3000000.0,Seed,2020-01-01,365 days,2018-01-01,2018
Khatabook,2017-01-01,Bengaluru,IT & Technology,It helps SMEs to maintain their accounts and ledger online.,Ravish Naresh,B Capital Group,60000000.0,Series_B,2020-01-01,1095 days,2020-01-01,2020
Eggoz,2017-01-01,Bihar,Agriculture,"Provides technology backed, deep integration services to egg farmers",Uttam Kumar,"Tracxn Labs, Angellist, Tri-Deep Capital",329000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Winuall,2018-01-01,Bengaluru,Education,It helps coaching institutes in digitization,Ashwini Purohit,"Ankit Bhati, Nitin Gupta",3000000.0,Seed,2020-01-01,730 days,2019-01-01,2019
DeepTek,2018-01-01,Pune,Healthcare & Life sciences,AI enabled radiology platform,"Amit Kharat, Ajit Patil, Aniruddha Pant",GHV Accelerator,3000000.0,Seed,2020-01-01,730 days,2019-01-01,2019
Sindhuja Microcredit,2018-01-01,Noida,IT & Technology,It provides financial services to self employed women entrepreneurs,"Abhisheka Kumar, Malkit Didyala",Nordic Microfinance Initiative,8700000.0,Seed,2020-01-01,730 days,2019-01-01,2019
Tesco Charge Zone,2017-01-01,Gujarat,Transportation & Logistics,Operates electric vehicle charging zone,Kartikey Hariyani,Mumbai Angels Network,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Intello Labs,2016-01-01,Gurugram,Agriculture,Standardisation and Quality control of fruits & vegetables,"Milan Sharma, Nishant Mishra, Himani Shah, Devendra Chandani",Saama Capital,5900000.0,Series_A,2020-01-01,1461 days,2021-01-01,2021
GroCurv,2019-01-01,Gurugram,Business Services,"It offers a wide range of business related services like Branding, marketing, sales etc.,","Venkatesh Rangachari, Vipul Gupta",Unicorn Investments Pte Ltd,3000000.0,Seed,2020-01-01,365 days,2018-01-01,2018
Refrens,2019-01-01,Bengaluru,IT & Technology,"Offers a free invoicing, payments and expense management system","Naman Sarawagi, Mohit Jain","Vijay Shekhar Sharma, Anupam Mittal",1000000.0,Seed,2020-01-01,365 days,2018-01-01,2018
Spyne,2017-01-01,Gurugram,IT & Technology,Helps online businesses with visual content,"Sanjay Kumar, Deepti Prasad","Angellist, Smile Group, Manish Amin, Anil Goel, Anubhav Sonthalia, Deepak Mittal",3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Mintoak,2017-01-01,Mumbai,IT & Technology,Merchant payment solutions startup,"Raman Khanduja, Sanjay Nazareth",Pravega Ventures,2000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
VestSpace,2018-01-01,Pune,IT & Technology,It builds small satellite paltforms,Arun Kumar Sureban,Next Capital,10000000.0,Seed,2020-01-01,730 days,2019-01-01,2019
Vernacular ai,2016-01-01,Bengaluru,IT & Technology,It offers Multiligual AI platform,"Gupta, Akshay Deshraj, Manoj Sarda","Exfinity Ventures, IAN Fund",5100000.0,Series_A,2020-01-01,1461 days,2021-01-01,2021
Clover,2017-01-01,Bengaluru,Agriculture,Provides agricultural solution to farmers working in the greenhouse production of vegetables and fruits,"Avinash BR, Gururaj Rao, Arvind Murali, Santhosh Narasipura",Alteria Capital,920000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Varthana,2017-01-01,Bengaluru,IT & Technology,Offers secured and unsecured loans,Steve Hardgrave,ChrysCapital,15000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Codeninja,2016-01-01,Bengaluru,IT & Technology,AI-powered 'no-code' platform which can generate application development code,"Prashanth Kuppur, Deepak Kalhan, Saurabh Kukreti, Richpal Gora","Hari Balasubramanian, EaSyndicate",3000000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
MetaMerphoSys,2016-01-01,Pune,IT & Technology,Digital insurance platform for businesses,"Amit Naik, Kewal Vargante",Good Capital,3000000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
Rooter,2016-01-01,Delhi,Others,Live sports engagement platform,"Piyush, Dipesh Agarwal","Paytm, leAD Sports, Rockstud Capital, Founder Bank Capital",1700000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
Aker Foods,2019-01-01,Pune,Consumer Goods,Ai driven supply chain platform,Suraj Saste,Mumbai Angels Network,3000000.0,Seed,2020-01-01,365 days,2018-01-01,2018
Biryani By Kilo,2017-01-01,Delhi,Consumer Goods,Online paltform to order biryani,Vishal Jindal,"Devanshu Dolat Desai, Anand M Khatau, Debasish Priyadarshi Purohit, Kaushik Shanghvi",790000.0,Series_B,2020-01-01,1095 days,2020-01-01,2020
Consure Medical,2017-01-01,Delhi,Healthcare & Life sciences,"Novel platform technologies to manage, diagnose, and treat various GI disorders","Nishith Chasmawala, Amit Sharma","Accel Partners, Jungle Ventures",480000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Servify,2017-01-01,Mumbai,IT & Technology,It is a technology company which serves as a platform for brands to offer end-to-end solutions to their users,Sreevathsa Prabhakar,Barkawi,250000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Tessol,2017-01-01,Mumbai,Transportation & Logistics,It provides end to end cold chain logistics solutions,Rajat Gupta,1Funds Domestic Scheme,160000.0,Series_A,2020-01-01,1095 days,2020-01-01,2020
Remedo,2017-01-01,Noida,Healthcare & Life sciences,"It helps doctors engage with patients, improve patient experience",Harsh Bansal,RiverRock Ventures,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
News Reach,2018-01-01,Ahmedabad,Others,"It is a platform that digitalises local newspaper publishers, reporters, stringers by aggregating their content",Darshan Shah,Mumbai Angels Network,3000000.0,Seed,2020-01-01,730 days,2019-01-01,2019
RoomSoom,2016-01-01,Noida,Real Estate,It provides co-living and student rooms,"Nitin Agrawal, Garima Agrawal",Mumbai Angels Network,3000000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
Qin1,2017-01-01,Noida,Education,It is alearning platform for kids in the age group 5 to 14 yrs,"Ishan Gupta, Aarti Gupta",Venture Catalysts,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Expertrons,2017-01-01,Mumbai,IT & Technology,AI video bot platform for career hacks,"Vivek Gupta, Jatin Solanki","Nikhil Vora, Iceland Venture Studio, LetsVenture, Samyakth Capital",3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
NewsBytes,2017-01-01,Gurugram,Others,News portal,"Romesh Khaddar, Shikha Chaudhry, Sumedh Chaudhry",North Base Media,1500000.0,Series_A,2020-01-01,1095 days,2020-01-01,2020
Wagonfly,2018-01-01,Bengaluru,Business Services,Contactless shopping and delivery experience by using radio frequency to tag retail items,Raghavendra Prasad,Investment Trust of India,500000.0,Seed,2020-01-01,730 days,2019-01-01,2019
Convosight,2019-01-01,Hyderabad,IT & Technology,It helps business gain insights from its community on Facebook groups,"Tarun Dhamija, Kartik Bansal","IvyCap Ventures, Sequoia Capital",4000000.0,Seed,2020-01-01,365 days,2018-01-01,2018
Fittr,2017-01-01,Pune,Healthcare & Life sciences,Fitness Social Network & Consultation Platform,Jitendra Chouksey,"Sequoia Capital Surge, Better Capital",2000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
AsknBid,2018-01-01,Bengaluru,IT & Technology,It builds algorithmic investing-based tech products,"Suresh Bavisetti, Paarth Dhar",Ravikanth Reddy & Mumbai Angel Network,3000000.0,Seed,2020-01-01,730 days,2019-01-01,2019
Finaureus Technologies,2017-01-01,Pune,IT & Technology,Provides investment management solutions,"Arindam Ghosh, U R Bhatt",Pinetree Capital,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
LoadShare,2017-01-01,Bengaluru,Transportation & Logistics,Provides technology based solutions to SMEs in logistics,"Raghuram Talluri, Tanmoy Karmakar, Rakib Ahmed",CDC Group,2004000.0,Series_B,2020-01-01,1095 days,2020-01-01,2020
Vedantu,2017-01-01,Bengaluru,Education,Onine learning platform,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna",KB Global Platform Firm,6800000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Spintly,2017-01-01,Goa,IT & Technology,It is a wireless cloud-based access control system,"Rohin Parkar, Malcolm Dsouza",Saltwater Venture Sparks,248000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Bijak,2017-01-01,Gurugram,Agriculture,"It is a platform that gives agricultural commodity at better prices, increased working capital, and optimised logistics","Nukul Upadhye, Mahesh Jakhotia, Jitender Bedwal, Daya Rai, Nikhil Tripathi",RTP Global,12000000.0,Series_A,2020-01-01,1095 days,2020-01-01,2020
DrinkPrime,2017-01-01,Bengaluru,Business Services,Water purifier subscription service,"Manas Ranjan Hota, Vijender Reddy","Abhishek Goyal, Bharat Jaisinghani, FirstCheque",3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Yap,2017-01-01,Chennai,IT & Technology,Banking and payment products-focused API platform,"Madhusudanan R, Muthukumar and Prabhu",BeeNext,4500000.0,Series_A,2020-01-01,1095 days,2020-01-01,2020
UzhavarBumi,2017-01-01,Tamil Nadu,Agriculture,Provides fresh dairy products,"Vetrivel Palani, Paneerselvam",Angel Network,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Tattva,2018-01-01,Delhi,Consumer Goods,Sells its organic and beauty products via marketplace,"Megha Wadhwa, Karnesh Mahendru","Sukhbir Singh, Rakhee Singal",150000.0,Seed,2020-01-01,730 days,2019-01-01,2019
ITILITE,2017-01-01,Bengaluru,Travel & Tourism,Platform for business travel,"Mayank Kukreja, Anish Khadiya","Greenoaks Capital, Vy Capital. Matrix Partners India",13000000.0,Series_B,2020-01-01,1095 days,2020-01-01,2020
Aavenir,2019-01-01,Ahmedabad,IT & Technology,Source-to-Pay Software,Ashish Bhandari,Accel,2000000.0,Seed,2020-01-01,365 days,2018-01-01,2018
Yellow Messenger,2017-01-01,Bengaluru,IT & Technology,It offers conversational chatbots,Raghavendra Kumar Ravinutala,"Lightspeed Venture Partners, Lightspeed India Partners.",20000000.0,Series_B,2020-01-01,1095 days,2020-01-01,2020
Ewar,2017-01-01,Bengaluru,Others,E-sports and real-time gaming startup,"Parth Chadha, Rahul Singh","Jindal Steels, Jeet Banerjee",200000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Wellthy Therapeutics,2017-01-01,Bengaluru,Healthcare & Life sciences,It offers a digital therapeutics service,Abhishek Shah,Saama Capital,4000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Power Gummies,2018-01-01,Delhi,Healthcare & Life sciences,Offers health supplements related gummies,Divij Bajaj,Venture Catalysts,3000000.0,Seed,2020-01-01,730 days,2019-01-01,2019
Locale ai,2019-01-01,Bengaluru,IT & Technology,It helps companies with moving assets  increase revenues and demand using real time location data and analytics,"Rishabh Jain, Aditi Sinha",Better Capital,3000000.0,Seed,2020-01-01,365 days,2018-01-01,2018
FarEye,2017-01-01,Delhi,Transportation & Logistics,"It enables businesses to execute, track, predict and oprimize the movements of goods","Gaurav Srivastava, Gautam Kumar, Kushal Nahata","M12, Honeywell venture capital, Eight Roads Venture",24500000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
SugarBox,2017-01-01,Mumbai,IT & Technology,Hyperlocal data distribution platform,Rohit Paranjpe,Zee Entertainment Enterprises Limited,68525000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Big Basket,2017-01-01,Bengaluru,Retail,Online grocery store,"Abhinay Choudhari, Hari Menon, Vipul Parekh, VS Sudhakar",Alibaba Holdings,60000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Vedantu,2017-01-01,Bengaluru,Education,Onine learning platform,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna",Legend Capital,12500000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Plop,2017-01-01,Mumbai,IT & Technology,It Provides an interactive fiction entertainment platform to entertain & educate Gen Z & Millennials in a language they understand,"Vineet Shetty, Anushka Shetty","Better Capital, LetsVenture, Rohit Chanana, Jayant Kadambi, Sunil Kumar Singhvi",3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Lido Learning,2017-01-01,Mumbai,Education,Online teaching service,Sahil Sheth,Bace Capital,7500000.0,Series_B,2020-01-01,1095 days,2020-01-01,2020
Zomato,2017-01-01,Gurugram,Consumer Goods,Online food delivery and restaurant discovery platform,Deepinder Goyal,Pacific Horizon,5000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
JusPay,2017-01-01,Bengaluru,IT & Technology,Online payment solutions,Vimal Kumar,Vostok Emerging Finance,21600000.0,Series_B,2020-01-01,1095 days,2020-01-01,2020
Fingpay,2016-01-01,Mumbai,IT & Technology,Provides payment solutions,"Pratyush Halen, Anuraag Agrawal",IvyCap Ventures,3500000.0,Series_A,2020-01-01,1461 days,2021-01-01,2021
Recko,2017-01-01,Bengaluru,IT & Technology,The platform enables AI-powered reconciliation of digital transactions,"Prashant Border, Saurya Prakash Sinha",Vertex Ventures,6000000.0,Series_A,2020-01-01,1095 days,2020-01-01,2020
Mera Cashier,2019-01-01,Noida,IT & Technology,App meant for small and micro businessmen to manage their transactions digitally,"Suneel Kumar, Gaurav Tomar, Sucharita Redd","Sukhbir Singh, India Accelerator, Boudhik Ventures, Shankar Nath, Shaurya Garg",150000.0,Seed,2020-01-01,365 days,2018-01-01,2018
